{'n': '35', 'v': 0}
{'n': '1', 'v': 1}
{'n': '9', 'v': 1}
{'n': '10', 'v': 1}
{'n': '11', 'v': 1}
{'n': '14', 'v': 1}
{'n': '17', 'v': 1}
{'n': '18', 'v': 1}
{'n': '19', 'v': 1}
{'n': '24', 'v': 1}
{'n': '25', 'v': 1}
{'n': '31', 'v': 1}
{'n': '33', 'v': 1}
{'n': '38', 'v': 1}
{'n': '42', 'v': 1}
{'n': '2', 'v': 2}
{'n': '3', 'v': 2}
{'n': '7', 'v': 2}
{'n': '16', 'v': 2}
{'n': '23', 'v': 2}
{'n': '26', 'v': 2}
{'n': '27', 'v': 2}
{'n': '37', 'v': 2}
{'n': '39', 'v': 2}
{'n': '43', 'v': 2}
{'n': '44', 'v': 2}
{'n': '8', 'v': 3}
{'n': '13', 'v': 3}
{'n': '22', 'v': 3}
{'n': '29', 'v': 3}
{'n': '30', 'v': 3}
{'n': '32', 'v': 3}
{'n': '34', 'v': 3}
{'n': '36', 'v': 3}
{'n': '40', 'v': 3}
{'n': '41', 'v': 3}
{'n': '45', 'v': 3}
{'n': '48', 'v': 3}
{'n': '49', 'v': 3}
{'n': '4', 'v': 4}
{'n': '5', 'v': 4}
{'n': '15', 'v': 4}
{'n': '28', 'v': 4}
{'n': '46', 'v': 4}
{'n': '6', 'v': 5}
{'n': '12', 'v': 5}
{'n': '20', 'v': 5}
{'n': '21', 'v': 5}
{'n': '47', 'v': 5}
