{'n': '8', 'v': 0}
{'n': '23', 'v': 0}
{'n': '1', 'v': 1}
{'n': '3', 'v': 1}
{'n': '7', 'v': 1}
{'n': '9', 'v': 1}
{'n': '15', 'v': 1}
{'n': '17', 'v': 1}
{'n': '19', 'v': 1}
{'n': '20', 'v': 1}
{'n': '36', 'v': 1}
{'n': '42', 'v': 1}
{'n': '46', 'v': 1}
{'n': '47', 'v': 1}
{'n': '2', 'v': 2}
{'n': '5', 'v': 2}
{'n': '6', 'v': 2}
{'n': '11', 'v': 2}
{'n': '14', 'v': 2}
{'n': '18', 'v': 2}
{'n': '25', 'v': 2}
{'n': '29', 'v': 2}
{'n': '32', 'v': 2}
{'n': '40', 'v': 2}
{'n': '41', 'v': 2}
{'n': '43', 'v': 2}
{'n': '48', 'v': 2}
{'n': '49', 'v': 2}
{'n': '12', 'v': 3}
{'n': '13', 'v': 3}
{'n': '22', 'v': 3}
{'n': '24', 'v': 3}
{'n': '27', 'v': 3}
{'n': '34', 'v': 3}
{'n': '37', 'v': 3}
{'n': '38', 'v': 3}
{'n': '39', 'v': 3}
{'n': '45', 'v': 3}
{'n': '4', 'v': 4}
{'n': '16', 'v': 4}
{'n': '21', 'v': 4}
{'n': '31', 'v': 4}
{'n': '33', 'v': 4}
{'n': '44', 'v': 4}
{'n': '10', 'v': 5}
{'n': '26', 'v': 5}
{'n': '28', 'v': 5}
{'n': '35', 'v': 5}
{'n': '30', 'v': 6}
